"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on November 5, 2022","Mark T. SkeenMark T. Skeen","yes","yes","unexpectedly impressed for a good value.","We researched materials for our raised beds for a very long time.  My wife had a vision for her vegetable garden and was incredibly disappointed when we finally decided her first choice material of cedar was going to be just too expensive.  We thought galvanized would be our next option but she really didn't want the look of the steel so we opted for the black.  We saved (literally)hundreds by going with these black galvanized beds and we were both pleasantly surprised and impressed with the entire experience.  While waiting for the order we spent a lot of time watching youtube videos about ""mistakes"" and the ""hassles"" of putting together galvanized beds, and honestly, made ourselves anxious for no reason.Putting these beds tother IS time-consuming but NOT hard.  The larger 4X8 beds are easier with two people (just because of the number of screws and bolts you have to use and lining up the longer side pieces) but my wife actually did the 4X4 beds herself in under an hour each.So don't let the videos or other negative experiences scare you off.  That said here are some tips I'd advise:Most importantly- the flatter your surface the better the beds are going to sit and look. We did a lot of leveling before placing the beds and you can clearly see where we did a better job than not.  (I would also advise putting these beds together on a flat hard surface such as a patio, driveway, etc, then placing them where you want. It just makes lining up the pieces SO much easier)Here's what I learned from other reviewer's experiences that are worth paying attention to:  the reviewer ""runtails"" gave great advice in saying ""it is important although not immediately obvious, that the four corner pieces are oriented so the holes for the stability poles are all down"" and I would not have even noticed that had I not read that review first (and probably would have ended up having to take apart and put back together pieces)I also read a few reviews talking about receiving damaged products or the material ""scratching"" easily. Fortunately, we received all 4 of our beds in perfect condition and because I had read about the scratching, we were very careful in handling the pieces so they didn't scratch. We even kept the plastic coating lining the pieces until they were assembled and placed and I think this helped.We purchase 4 beds for about what it was going to cost us to build 2 cedar beds and I am thrilled with how it turned out.  Not only would I not hesitate to recommend these beds, but we'll also be ordering more beds next season to add.  They work well and are esthetically beautiful and I can't wait to get the paths mulched and the area fenced in.  As my wife noted, ""this is going to look even better than I envisioned!""",5,"https://m.media-amazon.com/images/I/51FlJwWyn8L.jpg , https://m.media-amazon.com/images/I/51TCHkwzgNL.jpg , https://m.media-amazon.com/images/I/61UYSefW9SL.jpg , https://m.media-amazon.com/images/I/61YnxYS3YNL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3JKRKNJZKLS3L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on March 11, 2022","Timothy FountainTimothy Fountain","yes","yes","Very flimsy","The product is nice and light weight but the packaging was a minimal most every corner was bent. I had to bend back and damage them to be able to assemble. The metal pieces are all plastic covered to avoid damage (awesome) which seems great but as soon as it is removed the surface will scratch VERY easily. I will probably have to paint. I expected more for the cost.Update: One year after install there are several sections with significant rust creating holes on the sides.  I am going to paint with a rust protector in hopes of extending the life of the raised garden, but after only one year this might be a bust.",3,"https://m.media-amazon.com/images/I/61oPn4bH3KL.jpg , https://m.media-amazon.com/images/I/61xfM2ViliL.jpg , https://m.media-amazon.com/images/I/71diHXJm+kL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1JIIDUD9LHKRW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on March 21, 2022","Angela","yes","yes","Pretty good with some caveats","We just put 4 of these raised garden beds together over the weekend.Pros: easy to move, fairly easy to put together with 1 person. Looks niceCons: Instructions don't call out that the hole needs to be at the bottom for the stakes. The rubber top seems like it will come off easily and it came in one long strip that you have to manually cut. It wasn't hard to cut but it seemed like an easy thing to do. The sides are a bit more flimsy than I was expecting. The paint also seems to scrape off way too easily, especially on the overlapped part so now I wonder if it will rust. For being powder coated I expected a more durable surface. The instructions also say to check every 90 days if the bolts are loose. How will that be possible when it is full of 2ft of dirt? It seems like a locking washer would be a good idea. The tabs on the inside supports are also weird and they also scrape the paint off when installing. The instructions aren't clear on which way is up and the tabs have to be bent into place and then the angle of the corrugated ridges makes for a weird fit.I bought 2 more, we will see over time how they hold up. I am expecting in 3 years I will be spray painting the exterior due to rust.  They are pretty and have a lot of space. They are one of the few raised beds I was able to find that are very deep.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3CB5EJRVR2CXE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on August 22, 2022","Alex","yes","yes","No free return of this PRIME item","i bought 7 rised garden beds and assembled 2 of them. They look ok before putting to use.I decided to return 5 because the size was to large for my purpose.now i find out that this item is not eligible for free return despite being marked PRIME on the website and I have to arrange the carrier""of my choice"" and pay postage. Amazon customer service said that the item was sold by the third party and not eligible for free return. I could not find any mention that the item I bought as PRIME  is not eligible to free return.Beware of the unethical/ fraudulent side of Amazon PRIME !",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1VYEWNRE5SIDL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on February 10, 2023","Amazon CustomerAmazon Customer","yes","yes","Time Consuming but Matched the Price","For $150, you essentially get what you pay for.I did LOTS of shopping around and finally landed on this item. I ordered four. The first took about 1.5 hours to build, then each afterward just shy of an hour. I assembled almost entirely by myself; the only part I needed help with was fastening the very-bottom screws.The dimensions are as described. The metal sheets are a bit thin, but once again, it matches the price point. All four came in and delivered undamaged; they were packaged pretty well.Advice for assembling: lay out all items ahead of time. I also used a Kobalt ratcheting screwdriver for tightening down the wing nuts. The maintenance also mentions to retighten over time (impossible, filled with dirt), so I used Loctite as I assembled to make sure the fasteners wouldn't loosen.Keep in mind, this review is after assembly and not after year(s) of continual use. I will update my review if I feel the beds don't stand up to typical use.",4,"https://m.media-amazon.com/images/I/81Uvz7MAMKL.jpg , https://m.media-amazon.com/images/I/91qpgBpV06L.jpg","-","https://www.amazon.com/gp/customer-reviews/R2QD499YTY0M2B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on February 8, 2023","Art WellingArt Welling","yes","yes","Leave everything loose till it's all together","I'm a banged-up old retired instructor, and it still only took about an hour to assemble by myself.  That said, I still have about 30 minutes of work left.  The trick to easy assembly is to leave all 96 fasteners loose during assembly.  This makes lining up the holes a breeze.The next task, after tightening everything, will be scraping up 128 cubic feet of yard waste and bio-mass to fill the bed.  I'll top it with 4""-5"" of garden soil.The bed feels lightweight and flimsy, but clearly, once it's filled it will be a very solid mass.  I'm looking forward to another 32 square feet of raised garden bed.",5,"https://m.media-amazon.com/images/I/91xV7lGM8SL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2TVBG9IWZWO7X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on May 9, 2022","Judy BeasleyJudy Beasley","yes","yes","Came with cancer causing warning! Wanted it for vegetables and ateable produce!","-",1,"https://m.media-amazon.com/images/I/81aeT3pDxxL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1V62J4RN0BDYY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on July 1, 2022","Amazon Customer","yes","yes","Toxic Coating - False Advertising - DO NOT PURCHASE!!","I originally purchased for a raised garden bed.  We did not find any notices of toxic materials used for food items used listed in this article or descrption.  There was a tiny sticker on one of the panels that mentioned a cancer warning and reproductive harm after you open the carton.  Also, a panel laid in the grass (for only one hour) - killed all the grass.  A bit scarey.Although they look nice.  These are nearly impossible to ""Not Scatch""  The coating is super thin and scratch easily.Also, take note that the seller makes you pay postage to return - which I found disqusting.  This is false advertising with no mention of the toxic warning.Save yourself the trouble of purchasing from this vendor.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R8TQ2QYTMT68R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on June 21, 2022","AngelaAngela","yes","yes","Vegetables with a side of CANCER!","I ordered this to use as a vegetable garden and was really excited. It even says in the advertisement vegetables. I'm not going to grow vegetables in a product that contains lead or chemicals that make cause cancer.",1,"https://m.media-amazon.com/images/I/51GGIlUDzyL.jpg","-","https://www.amazon.com/gp/customer-reviews/RW8MD206PJSZD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
"Reviewed in the United States on May 7, 2022","NoName Geek","yes","yes","Do not buy!!! Contains lead!!!","So disappointed!!! Bought this for a high price only to find out it contains lead!!!",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1FJ5MB6R49N2W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09SQZJV67","B09SQZJV67","Color: Gray"
